customer_id,transaction_id,transaction_time,transaction_amount,transaction_type,transaction_description
1,1,09:07:00,4718.51,withdrawal,ATM Withdrawal
2,2,09:08:00,46076.12,deposit,Salary Deposit
2,3,09:17:00,806.22,withdrawal,Online Transfer
2,4,09:20:00,186.74,transfer,Online Transfer
2,5,09:29:00,4486.33,withdrawal,ATM Withdrawal
3,6,09:33:00,47816.27,payment,Restaurant Bill
3,7,09:39:00,3251.69,withdrawal,Cash Deposit
3,8,09:43:00,2814.1,payment,Online Transfer
3,9,09:50:00,24364.75,payment,Online Transfer
3,10,09:59:00,15041.8,payment,Restaurant Bill
4,11,10:05:00,2470.75,payment,Online Purchase
4,12,10:15:00,34367.11,deposit,Cash Deposit
4,13,10:24:00,17229.73,withdrawal,Cash Withdrawal
4,14,10:29:00,2231.92,transfer,Online Transfer
4,15,10:32:00,18443.99,transfer,Online Transfer
4,16,10:42:00,2416.55,withdrawal,Cash Deposit
4,17,10:51:00,1357.41,payment,Restaurant Bill
4,18,10:58:00,23575.28,transfer,Cash Deposit
4,19,10:59:00,40275.97,transfer,Online Transfer
5,20,11:03:00,1421.9,deposit,Salary Deposit
5,21,11:09:00,25422.12,payment,Utility Bill
5,22,11:16:00,5222.73,withdrawal,Cash Deposit
5,23,11:20:00,475.47,transfer,Bank Transfer
5,24,11:25:00,3086.57,payment,Utility Bill
5,25,11:28:00,25058.28,deposit,Online Transfer
6,26,11:37:00,40276.77,payment,Restaurant Bill
6,27,11:44:00,21546.99,deposit,Cash Deposit
6,28,11:47:00,48502.0,transfer,Online Transfer
7,29,11:56:00,3729.02,transfer,Online Transfer
7,30,12:06:00,576.06,transfer,Online Transfer
8,31,12:10:00,1983.55,deposit,Check Deposit
8,32,12:20:00,3868.5,deposit,Salary Deposit
8,33,12:30:00,3082.33,payment,Online Transfer
8,34,12:34:00,45244.97,payment,Restaurant Bill
8,35,12:35:00,4268.76,transfer,Online Transfer
8,36,12:38:00,2117.09,withdrawal,Cash Withdrawal
8,37,12:43:00,1535.23,deposit,Cash Deposit
8,38,12:47:00,34124.11,transfer,Bank Transfer
8,39,12:53:00,4916.69,withdrawal,Cash Withdrawal
8,40,13:03:00,4804.5,transfer,Cash Deposit
9,41,13:10:00,47523.77,payment,Online Purchase
9,42,13:20:00,42418.82,transfer,Online Transfer
9,43,13:27:00,2447.35,transfer,Bank Transfer
9,44,13:34:00,16248.23,transfer,Online Transfer
9,45,13:44:00,24550.01,transfer,Bank Transfer
9,46,13:45:00,2252.5,deposit,Check Deposit
9,47,13:47:00,31880.4,deposit,Cash Deposit
9,48,13:50:00,41022.48,transfer,Online Transfer
10,49,13:58:00,6043.64,payment,Online Transfer
10,50,14:08:00,28323.76,deposit,Salary Deposit
10,51,14:14:00,2016.65,payment,Cash Deposit
10,52,14:24:00,9422.88,withdrawal,Online Transfer
10,53,14:29:00,24105.6,deposit,Cash Deposit
10,54,14:34:00,146.54,payment,Online Purchase
11,55,14:40:00,895.2,payment,Online Purchase
