customer_id,transaction_id,transaction_time,transaction_amount,transaction_type,transaction_description
679,3741,20:09:00,2224.73,withdrawal,Cash Withdrawal
252,1371,17:26:00,2902.76,withdrawal,ATM Withdrawal
880,4879,05:56:00,1297.53,withdrawal,ATM Withdrawal
640,3540,00:07:00,3524.96,transfer,Online Transfer
609,3397,10:55:00,21610.29,withdrawal,Cash Withdrawal
737,4064,02:11:00,7799.96,payment,Online Purchase
975,5379,03:15:00,34523.3,deposit,Cash Deposit
300,1648,17:35:00,1653.54,deposit,Cash Deposit
479,2618,10:25:00,20580.82,payment,Utility Bill
387,2122,14:19:00,4830.12,transfer,Bank Transfer
808,4471,17:24:00,42924.16,transfer,Cash Deposit
556,3072,05:55:00,41994.28,withdrawal,Cash Withdrawal
507,2785,02:38:00,20705.72,payment,Restaurant Bill
780,4281,23:12:00,16008.09,deposit,Cash Deposit
184,1023,09:19:00,14189.12,withdrawal,Cash Withdrawal
218,1201,00:43:00,1109.78,payment,Utility Bill
638,3524,22:32:00,4329.27,transfer,Bank Transfer
284,1562,10:07:00,2717.4,transfer,Online Transfer
813,4508,20:44:00,1196.71,deposit,Online Transfer
675,3712,17:15:00,31344.22,deposit,Cash Deposit
686,3765,22:34:00,38126.19,payment,Cash Deposit
512,2821,05:43:00,617.74,transfer,Online Transfer
514,2827,06:20:00,5945.63,transfer,Bank Transfer
554,3063,04:47:00,7059.31,payment,Online Transfer
324,1787,06:49:00,518.36,deposit,Cash Deposit
750,4126,08:08:00,23145.09,transfer,Online Transfer
874,4841,02:05:00,45064.07,withdrawal,Cash Withdrawal
345,1894,16:50:00,2183.6,withdrawal,Cash Deposit
82,448,03:07:00,2668.96,withdrawal,Online Transaction
586,3263,23:14:00,4057.91,deposit,Check Deposit
184,1026,09:41:00,27178.27,transfer,Online Transfer
185,1033,10:19:00,17457.73,deposit,Salary Deposit
613,3413,12:42:00,4683.07,payment,Online Purchase
474,2595,08:03:00,24092.48,deposit,Online Transfer
78,427,01:29:00,3347.35,payment,Online Purchase
186,1034,10:28:00,19162.32,payment,Utility Bill
274,1500,05:14:00,15445.85,transfer,Bank Transfer
877,4865,04:27:00,16133.27,deposit,Cash Deposit
172,945,02:11:00,3438.96,payment,Online Purchase
353,1938,20:43:00,1342.57,transfer,Online Transfer
932,5177,08:31:00,6924.73,transfer,Cash Deposit
155,849,17:09:00,2537.87,transfer,Cash Deposit
522,2866,09:56:00,20344.03,deposit,Cash Deposit
3,9,09:50:00,24364.75,payment,Online Transfer
76,419,00:41:00,524.18,deposit,Cash Deposit
974,5374,02:46:00,28042.68,payment,Online Purchase
655,3613,07:05:00,2545.7,deposit,Check Deposit
417,2285,05:03:00,4219.25,transfer,Online Transfer
227,1232,03:53:00,47652.11,payment,Restaurant Bill
320,1766,04:44:00,48733.33,payment,Online Purchase
8,34,12:34:00,45244.97,payment,Restaurant Bill
371,2032,05:27:00,15077.07,transfer,Online Transfer
747,4109,06:36:00,32027.35,transfer,Bank Transfer
308,1685,21:12:00,1646.42,transfer,Online Transfer
590,3286,00:56:00,2700.73,payment,Online Purchase
788,4336,04:20:00,799.63,withdrawal,Cash Withdrawal
590,3287,00:58:00,4327.84,withdrawal,Cash Deposit
493,2701,17:46:00,33634.62,withdrawal,Cash Deposit
783,4294,00:19:00,4147.18,withdrawal,Cash Withdrawal
165,908,22:44:00,33839.93,payment,Restaurant Bill
796,4392,09:47:00,22457.61,withdrawal,ATM Withdrawal
341,1874,14:51:00,1175.28,transfer,Bank Transfer
548,3036,01:58:00,27236.54,withdrawal,Cash Withdrawal
264,1439,23:40:00,46001.08,withdrawal,ATM Withdrawal
440,2405,15:57:00,8713.96,payment,Online Purchase
173,953,02:59:00,34895.0,withdrawal,Cash Deposit
270,1472,02:48:00,34656.95,deposit,Salary Deposit
606,3391,10:13:00,20763.97,withdrawal,Online Transaction
345,1893,16:44:00,4382.87,withdrawal,Online Transaction
338,1861,13:25:00,40006.08,payment,Online Purchase
339,1871,14:29:00,2382.24,withdrawal,Cash Withdrawal
829,4582,03:03:00,3291.28,payment,Cash Deposit
706,3882,09:12:00,15045.39,payment,Online Purchase
176,978,05:33:00,1974.44,withdrawal,Cash Withdrawal
193,1076,13:43:00,1254.48,transfer,Online Transfer
900,4988,15:54:00,2695.53,deposit,Salary Deposit
987,5438,08:58:00,1711.01,deposit,Cash Deposit
944,5229,13:36:00,39525.64,deposit,Salary Deposit
236,1296,09:47:00,17061.45,transfer,Cash Deposit
455,2500,00:18:00,1844.75,payment,Cash Deposit
787,4322,03:09:00,21313.15,payment,Restaurant Bill
60,325,15:46:00,38406.95,transfer,Bank Transfer
153,839,16:19:00,3640.6,payment,Online Transfer
296,1631,15:55:00,36588.24,withdrawal,Cash Withdrawal
379,2078,10:04:00,25347.7,deposit,Online Transfer
107,590,15:59:00,211.23,transfer,Bank Transfer
843,4664,10:09:00,1917.61,transfer,Online Transfer
65,352,18:28:00,552.49,deposit,Check Deposit
416,2269,03:29:00,34637.48,transfer,Bank Transfer
616,3426,13:55:00,2107.94,transfer,Bank Transfer
729,4013,21:47:00,1446.5,transfer,Online Transfer
569,3163,13:50:00,43643.11,withdrawal,ATM Withdrawal
17,80,17:22:00,47467.09,transfer,Bank Transfer
673,3709,16:58:00,2037.84,payment,Utility Bill
174,965,04:12:00,35575.03,withdrawal,Cash Withdrawal
194,1085,14:25:00,4985.52,payment,Online Transfer
790,4353,05:52:00,3228.51,deposit,Check Deposit
864,4772,20:22:00,38306.07,transfer,Bank Transfer
320,1770,05:06:00,38230.44,transfer,Online Transfer
422,2317,08:18:00,4589.8,payment,Online Purchase
408,2226,23:49:00,46269.12,payment,Restaurant Bill
569,3168,14:18:00,32774.39,payment,Utility Bill
230,1256,06:23:00,505.62,withdrawal,Cash Withdrawal
864,4771,20:13:00,1149.6,deposit,Check Deposit
388,2132,15:11:00,1855.69,transfer,Online Transfer
261,1427,22:33:00,3322.83,withdrawal,ATM Withdrawal
629,3484,19:11:00,4347.98,deposit,Cash Deposit
101,554,12:41:00,22677.52,payment,Restaurant Bill
484,2648,12:56:00,1205.55,deposit,Cash Deposit
57,297,13:21:00,4472.92,payment,Cash Deposit
559,3099,08:18:00,18976.29,deposit,Check Deposit
293,1617,14:30:00,41342.74,deposit,Check Deposit
417,2278,04:27:00,2850.63,withdrawal,ATM Withdrawal
457,2514,01:20:00,7218.0,withdrawal,Cash Deposit
588,3275,00:07:00,3732.39,deposit,Cash Deposit
979,5398,04:54:00,3788.98,payment,Cash Deposit
910,5044,20:37:00,28301.19,transfer,Bank Transfer
273,1492,04:32:00,3584.42,transfer,Bank Transfer
703,3857,06:45:00,34843.96,transfer,Bank Transfer
131,731,05:52:00,22625.67,deposit,Salary Deposit
564,3138,11:56:00,3802.95,withdrawal,ATM Withdrawal
390,2145,16:32:00,931.0,payment,Cash Deposit
278,1534,08:01:00,40008.69,withdrawal,Cash Withdrawal
60,320,15:27:00,33382.84,transfer,Online Transfer
713,3916,12:03:00,34043.58,payment,Utility Bill
546,3024,00:49:00,4589.71,payment,Utility Bill
354,1946,21:30:00,48210.7,deposit,Cash Deposit
261,1426,22:31:00,3581.56,deposit,Online Transfer
216,1189,23:31:00,21327.67,payment,Online Purchase
